time_s,trunk_pelvis_x_deg,trunk_pelvis_y_deg,trunk_pelvis_z_deg,lumbar_x_deg,lumbar_y_deg,lumbar_z_deg,chest_z_deg,lumbar_omega_dps,chest_omega_dps,left_knee_x_est_deg,left_knee_y_est_deg,left_knee_z_est_deg,right_knee_x_est_deg,right_knee_y_est_deg,right_knee_z_est_deg,left_ankle_x_est_deg,left_ankle_y_est_deg,left_ankle_z_est_deg,right_ankle_x_est_deg,right_ankle_y_est_deg,right_ankle_z_est_deg,left_shoulder_x_est_deg,left_shoulder_y_est_deg,left_shoulder_z_est_deg,right_shoulder_x_est_deg,right_shoulder_y_est_deg,right_shoulder_z_est_deg,left_elbow_x_est_deg,left_elbow_y_est_deg,left_elbow_z_est_deg,right_elbow_x_est_deg,right_elbow_y_est_deg,right_elbow_z_est_deg,left_hip_x_est_deg,left_hip_y_est_deg,left_hip_z_est_deg,right_hip_x_est_deg,right_hip_y_est_deg,right_hip_z_est_deg
75.26,26.0918290913592,-15.3319788040857,0.7131971087102874,-14.608037186844848,11.273519476335402,-8.278556207251473,-5.431147039519994,24.667588757220468,34.82743522542413,-4.003737568800453,-2.0252036058693905,12.478617512477376,-38.856276051464484,15.402687248290011,-2.733232541918661,0.2599978951986929,-3.147018355130937,-4.031351187897293,17.2021649679507,12.607519758217538,3.5493451861837286,-18.334526694382795,38.71358468495785,3.454100829449249,32.372488130738525,-0.46185870651968136,-5.812897708580873,66.14680032739592,-41.98047326987108,-25.059983597492586,41.74267105327965,31.968901383898803,-24.173563542563226,-1.4821862485511053,-0.9447434092646977,6.073678243290643,48.509403966940745,-4.024539082565283,-7.577481772362731
75.28,26.415893782515493,-15.379203092663449,0.38785210146640153,-14.80587616847655,11.367758442465275,-8.723111784402159,-6.083761838243863,24.551405011309292,35.57736620593735,-3.8491895393495126,-2.1075743464454626,12.569077499853213,-38.912251052810156,15.520103675099016,-2.7038545451239715,-0.5277754659495721,-2.970477619801654,-3.8926831835127924,17.32058863880412,12.40138869584259,3.3197361641033503,-18.213861443533364,38.70924906857699,3.508784941991661,32.079114981024794,-0.47078084271557735,-5.88710096298181,65.97832677412663,-42.24677886732097,-25.0552829322331,42.306885971772736,33.076307174315325,-23.7990866520299,-1.602514356728113,-1.0263864453114497,6.059731775516158,48.67933033654268,-4.165239169359691,-7.126794814891828
75.3,26.667759554777074,-15.469432312228124,0.06289991363444157,-14.940016849325078,11.44736766851611,-9.169039807436857,-6.747137350991864,23.991889710202347,36.177186484633886,-3.7751149402551336,-2.1131475872539074,12.44575926024278,-38.99364550939513,15.585974845284445,-2.7555728676543416,-1.2891152995728596,-2.756594107923582,-3.7309132727034418,17.416096181812446,12.248984862259455,3.241738191634589,-18.10642118455443,38.75187149341825,3.540243271842664,31.80707364695542,-0.4152813081311738,-5.990794856550468,65.85248598800024,-42.497567783219786,-25.068335353257705,42.8657917326505,34.169570153408635,-23.358083144350818,-1.6828679472532115,-1.0793724812174288,6.252536555759404,48.79665700369105,-4.352665296267739,-6.71700268169563
75.32,26.91090567243301,-15.587735969665184,-0.2779714401300605,-15.033243994286869,11.550536660017837,-9.606900384917394,-7.420737913046079,23.679447160916634,36.600185994206676,-3.7769891915672344,-1.99485682654399,12.133914243382657,-39.03357230647208,15.553982662234827,-2.8442722444337214,-2.039549130682801,-2.4889176774837725,-3.5120834693471896,17.45176674744154,12.193543024257329,3.301334310721673,-18.055073486954626,38.832359741001646,3.523620457405524,31.54298989005522,-0.3041902708879047,-6.094193716010461,65.80127296319115,-42.72402816729124,-25.137620955420054,43.434928414751454,35.192032468549144,-22.839647118931346,-1.7377977200262493,-1.1822792338301147,6.551091153278937,48.87367305610966,-4.570218411523216,-6.341048025375493
75.34,27.204376716733897,-15.712468248062278,-0.6465929025645116,-15.122006044074523,11.703215158780614,-10.035941023190954,-8.105567256952273,23.762670036239395,37.02386816732288,-3.8526329589750183,-1.8375576297097056,11.828698591505976,-39.00519382888895,15.42980047542274,-2.892605070323272,-2.774344787209437,-2.1402768528935803,-3.2393720125428445,17.434026981440628,12.2158504696505,3.457505024865006,-18.05435482463571,38.88952932383778,3.4594453399565945,31.27542437167206,-0.22108623181576786,-6.138518167201849,65.75101374228846,-42.96510904210948,-25.213941096848092,44.03775329528857,36.120600637961616,-22.286690968613126,-1.7774790096799247,-1.329243330143522,6.754302532328182,48.91665168753501,-4.768120037575005,-6.009516422762073
75.36,27.573672090134522,-15.84251576449399,-1.0548337000345909,-15.236201357179494,11.914765112240243,-10.458637571586237,-8.802331583566763,24.206365980672786,37.46773453166247,-3.9912101299399763,-1.7365103753928037,11.669863675624123,-38.96742792616045,15.266671521125643,-2.8627519868297022,-3.4795647975659723,-1.693040260626429,-2.932794179788606,17.403859017521043,12.25103257562871,3.68294604885072,-18.07417370170106,38.87808329606481,3.354471399268178,31.030402676031784,-0.22615414728654898,-6.11192498055002,65.61952269480763,-43.25372391296988,-25.219686312508085,44.629803794134816,36.98433469875499,-21.786137135612197,-1.7950741249761337,-1.4951474600983006,6.742315305804612,48.96251126334047,-4.9090119720717595,-5.751822138623659
75.38,27.99538180690012,-15.985161396795933,-1.4887022357296966,-15.376214951910434,12.169426389429297,-10.888607768839918,-9.509600205224215,25.254780371081534,37.829156108379955,-4.121133102032317,-1.6729496496364513,11.63001705127588,-38.979888856563555,15.112461358613174,-2.7783955524916224,-4.170267598603331,-1.1512955946135344,-2.631337741514638,17.39083077731866,12.258855331900214,3.9492902169248003,-18.09433225497097,38.808889864551126,3.216235332426485,30.854013619526853,-0.30559435040076266,-6.054750970499896,65.39633960446588,-43.5610606313892,-25.126102354514664,45.128082252487495,37.813085536966874,-21.40092489878732,-1.815444535616593,-1.7254514625130668,6.568596274489742,49.055818055068634,-5.007764737131187,-5.561202971744985
75.4,28.431939978243935,-16.137125778686432,-1.9078512572661526,-15.514480624540134,12.440628721045286,-11.348404708313737,-10.22660541022895,27.007866768876347,38.085917850493885,-4.14229631280651,-1.5780305517827173,11.606214136030141,-39.028930805957586,14.9713224253579,-2.681316781436413,-4.903751520408114,-0.511921439377223,-2.3342795848927103,17.386839461582614,12.253817576568222,4.216166370656315,-18.114289020262156,38.711325328505566,3.0687869685710294,30.733772643155884,-0.3984296874773366,-6.016945510298135,65.10216122688121,-43.824572594369485,-24.94757374815266,45.51514617959331,38.6046038202734,-21.08894534312842,-1.8986087675547376,-2.0766268432936927,6.34252541102045,49.188609564800565,-5.1163850179652846,-5.383857035675556
75.42,28.888450778796418,-16.274683570364648,-2.2801322349587974,-15.636502363580872,12.710143369656691,-11.85006737649242,-10.951424652246113,28.800742747877653,38.01211902395158,-4.082877663495724,-1.4635840230774044,11.540898575917751,-39.062890822179334,14.829118484667914,-2.5876305359391845,-5.684117627151363,0.2582731282021399,-1.9681832558045846,17.364931228906347,12.265850883382065,4.471392777493125,-18.13951687546937,38.59005025268766,2.9510453925816504,30.592693566261673,-0.4468143519167224,-6.034527615377631,64.7284150682184,-44.02030705569909,-24.707181058199136,45.85227286113146,39.33725142283258,-20.734820628913514,-2.0403615722940116,-2.5073771134789746,6.0974955545268115,49.315530239541445,-5.260190878885081,-5.186008128965984
75.44,29.405406169775194,-16.375903656381396,-2.6088776278961094,-15.768702505982432,12.979812242790441,-12.381408967478729,-11.671902837824584,29.887948921276287,37.208618011665415,-4.0759695009312535,-1.4172975292065575,11.452177817223752,-39.06463996127764,14.694998068015448,-2.4741870120631844,-6.418896131397719,1.2084443192939005,-1.4489498504183698,17.305016512657737,12.295270566948519,4.7405985571270985,-18.158587415931375,38.44466383377795,2.894546236090976,30.380738767070934,-0.4467278572800549,-6.098621552033982,64.26300652655456,-44.17230103952965,-24.4388022306374,46.21325293110883,40.01309678977113,-20.29867013702882,-2.142338596391585,-2.9275262631525414,5.800365752317126,49.433285209993024,-5.399068316708367,-4.99606230894608
