trial,recording,metrics_version,event_id,direction,turn_start_s,turn_end_s,turn_duration_s,chest_yaw_excursion_deg,pelvis_yaw_excursion_deg,chest_yaw_peak_rate_dps,chest_yaw_sparc,chest_yaw_submovement_count,chest_yaw_submovement_rate_hz,chest_pelvis_yaw_r,chest_pelvis_lag_s,chest_pelvis_gain,relative_yaw_range_deg,relative_yaw_sd_deg,chest_yaw_log10_dimensionless_jerk
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-06,-1,66.24719470022443,69.91919440646444,3.6719997062400234,122.31742902745464,68.8404170833133,63.02034111754831,-1.7662377627060883,4,1.089324705882353,0.9919379852201506,-0.18902410863546468,0.5628013736935379,55.50379234081392,17.12129810281171,4.817755280716087
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-06,-1,62.5616949950644,66.45239468380842,3.8906996887440246,115.57988698320143,70.7975451039567,53.36537075101987,-1.684935589457279,2,0.5140463566967384,0.9961632737813209,-0.12368454577662243,0.6125420862735964,45.01728680978274,14.532962641362142,4.782611014575503
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-07,1,69.91919440646444,72.55439419564846,2.635199789184017,62.90455042141301,36.556866366738866,44.8795641441496,-1.805029193867133,3,1.138433606557377,0.9171478334698376,-0.20640799539478394,0.581148201868314,29.543328055054943,9.712942291441946,4.6849482473297
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-07,1,66.45239468380842,69.23339446132844,2.7809997775200177,52.96994359907232,29.29971510398854,34.22840063732443,-2.0928587315690494,3,1.0787487378640777,0.9112309262162386,-0.23616999960258173,0.5531384991790264,28.198434533148657,9.132043901577546,4.568261186199329
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-08,-1,72.55439419564846,77.3549938116005,4.800599615952031,87.78369418306387,69.84129480024417,37.63601135683577,-2.5132904042002786,5,1.0415365579302587,0.9836587194332851,-0.26174729719437495,0.7956066949586028,24.616413663831427,8.471212817895216,5.835327655098266
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-08,-1,69.23339446132844,74.46329404293647,5.229899581608033,83.67760236234157,67.58640874603509,40.5506634227945,-2.2743854952694535,3,0.5736247805885389,0.981090910585714,-0.19381947652222817,0.8077001113556261,17.254904044976907,5.958345694250615,5.942306457147057
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-09,1,77.3549938116005,88.02539295796856,10.670399146368068,157.68412319530205,118.71932470231793,49.17347387289945,-3.331803273939969,8,0.7497376518218624,0.9859672424458081,-0.25193439565715064,0.7528933306448128,43.145703965358095,12.575328892455968,7.615576003565252
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-09,1,74.46329404293647,84.25349325972053,9.790199216784062,156.31338169964081,117.47339475923857,40.65756813008203,-2.2360509269290625,10,1.0214296745725318,0.9927854792899172,-0.24272403395393607,0.7515248757458652,40.650083244236356,12.320797764647672,7.453636084136429
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-10,-1,88.02539295796856,92.47769260178458,4.452299643816028,141.21660285149107,82.67616829239586,60.89628291616851,-1.654424274126397,3,0.6738090964220741,0.9977860050516033,-0.36897313864783327,0.5854564309222292,59.57930510025051,20.78211517832587,5.450458414913466
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-10,-1,84.25349325972053,89.22149286228057,4.967999602560032,147.6617456991966,93.27911828925777,58.506480198915334,-1.6518663964645703,4,0.8051530434782609,0.9974064077325026,-0.2629201652988707,0.6317080828725791,54.48894119266654,17.917805841044633,5.292192516807379
